Month,Product_Category,Coupon_Code,Discount_pct
Sep,Headgear,HGEAR30,30
Jul,Nest,NE10,10
Aug,Nest,NE20,20
Sep,Nest,NE30,30
Jul,Waze,WEMP10,10
Aug,Waze,WEMP20,20
Sep,Waze,WEMP30,30
Jul,Bottles,BT10,10
Aug,Bottles,BT20,20
Sep,Bottles,BT30,30
Jul,Nest-Canada,NCA10,10
Aug,Nest-Canada,NCA20,20
Sep,Nest-Canada,NCA30,30
Jul,Housewares,HOU10,10
Aug,Housewares,HOU20,20
Sep,Housewares,HOU30,30
Jul,Accessories,ACC10,10
Aug,Accessories,ACC20,20
Sep,Accessories,ACC30,30
Jul,Gift Cards,GC10,10
Aug,Gift Cards,GC20,20
Sep,Gift Cards,GC30,30
Jul,Notebooks & Journals,NJ10,10
Aug,Notebooks & Journals,NJ20,20
Sep,Notebooks & Journals,NJ30,30
Jul,Android,AND10,10
Aug,Android,AND20,20
Sep,Android,AND30,30
Oct,Apparel,SALE10,10
Nov,Apparel,SALE20,20
Dec,Apparel,SALE30,30
Oct,Nest-USA,ELEC10,10
Nov,Nest-USA,ELEC20,20
Dec,Nest-USA,ELEC30,30
Oct,Office,OFF10,10
Nov,Office,OFF20,20
Dec,Office,OFF30,30
Oct,Drinkware,EXTRA10,10
Nov,Drinkware,EXTRA20,20
Dec,Drinkware,EXTRA30,30
Oct,Lifestyle,EXTRA10,10
Nov,Lifestyle,EXTRA20,20
Dec,Lifestyle,EXTRA30,30
Oct,Bags,AIO10,10
Nov,Bags,AIO20,20
Dec,Bags,AIO30,30
Oct,Notebooks,NOTES10,10
Nov,Notebooks,NOTES20,20
Dec,Notebooks,NOTES30,30
Oct,Headgear,HGEAR10,10
Nov,Headgear,HGEAR20,20
Dec,Headgear,HGEAR30,30
Oct,Nest,NE10,10
Nov,Nest,NE20,20
Dec,Nest,NE30,30
Oct,Waze,WEMP10,10
Nov,Waze,WEMP20,20
Dec,Waze,WEMP30,30
Oct,Bottles,BT10,10
Nov,Bottles,BT20,20
Dec,Bottles,BT30,30
Oct,Nest-Canada,NCA10,10
Nov,Nest-Canada,NCA20,20
Dec,Nest-Canada,NCA30,30
Oct,Housewares,HOU10,10
Nov,Housewares,HOU20,20
Dec,Housewares,HOU30,30
Oct,Accessories,ACC10,10
Nov,Accessories,ACC20,20
Dec,Accessories,ACC30,30
Oct,Gift Cards,GC10,10
Nov,Gift Cards,GC20,20
Dec,Gift Cards,GC30,30
Oct,Notebooks & Journals,NJ10,10
Nov,Notebooks & Journals,NJ20,20
Dec,Notebooks & Journals,NJ30,30
Oct,Android,AND10,10
Nov,Android,AND20,20
Dec,Android,AND30,30
